,store,sido,gungu,store_address
0,강원홍천군홍천점,강원도,홍천군,강원 홍천군 홍천읍 갈마로 4
1,강원양구군방산점,강원도,양구군,강원 양구군 방산면 장거리길 18
2,강원춘천시석사점,강원도,춘천시,강원 춘천시 우석로 79번길4-1
3,강원춘천시퇴계점,강원도,춘천시,강원 춘천시 춘주로 187번길20-4
4,강원홍천군시동점,강원도,홍천군,강원 홍천군 남면 시동안로 321번길34-2
5,강원인제군신남점,강원도,인제군,강원 인제군 남면 신남로 23
6,강원춘천시교동후평점,강원도,춘천시,강원 춘천시 성심로 23-1
7,강원인제군인제점,강원도,인제군,강원 인제군 인제읍 인제로 197-1
8,강원화천군산양리점,강원도,화천군,강원 화천군 상서면 영서로 7740-4
9,강원양구군동면점,강원도,양구군,강원 양구군 동면 금강산로 1681
10,강원강릉시포남1점,강원도,강릉시,강원 강릉시 성덕포남로 169
11,강원영월군영월점,강원도,영월군,강원 영월군 영월읍 은행나무길 58
12,강원강릉시초당점,강원도,강릉시,강원 강릉시 초당원길 19
13,강원원주시단계점,강원도,원주시,강원 원주시 원문로 146
14,강원원주시명륜점,강원도,원주시,강원 원주시 남산로 30
15,강원태백시태백점,강원도,태백시,강원 태백시 황지로 238
16,강원원주시단관점,강원도,원주시,강원 원주시 단관초교길 7
17,강원속초시교동점,강원도,속초시,강원 속초시 동해대로 4270
18,강원속초시조양점,강원도,속초시,강원 속초시 동해대로 3996
19,강원원주시문막점,강원도,원주시,강원 원주시 문막읍 건등로 40-3
20,강원동해시부곡점,강원도,동해시,강원 동해시 발한로 96
21,강원양양군양양점,강원도,양양군,강원 양양군 양양읍 양양로 83-1
22,강원양양군하조대점,강원도,양양군,강원 양양군 현북면 조준길 6
23,강원철원군지경리점,강원도,철원군,강원 철원군 갈말읍 청양로 81-1
24,강원인제군서화점(B),강원도,인제군,강원 인제군 서화면 천도로 126번길6
25,강원화천군다목리점,강원도,화천군,강원 화천군 상서면 수피령로 1306
26,강원평창군진부점,강원도,평창군,강원 평창군 진부면 진부중앙로 50
27,강원동해시망상점,강원도,동해시,강원 동해시 동해대로 6270-31
28,강원철원군자등리점,강원도,철원군,강원 철원군 서면 자등로 578
29,강원홍천군대명비발디점,강원도,홍천군,강원 홍천군 서면 한치골길 48
30,강원화천군화천점,강원도,화천군,강원 화천군 화천읍 중앙 로5
31,강원강릉시내곡점,강원도,강릉시,강원 강릉시 범일로 579번길49-2
32,강원속초시금호점,강원도,속초시,강원 속초시 미시령로 3473
33,강원원주시무실점,강원도,원주시,강원 원주시 섬밭들2길16-2
34,강원동해시천곡점,강원도,동해시,강원 동해시 한섬로 18
35,강원동해시효가점,강원도,동해시,강원 동해시 동해대로 5033
36,강원태백시장성점,강원도,태백시,강원 태백시 장성로 43-2
37,강원원주시태장점,강원도,원주시,강원 원주시 북원로 2704-4
38,강원평창군대관령점,강원도,평창군,강원 평창군 대관령면 경강로 5166
39,강원평창군장평점,강원도,평창군,강원 평창군 용평면 경강로 1663-1
40,강원정선군정선점,강원도,정선군,강원 정선군 정선읍 봉양6길28
41,경기포천시운천점,경기도,포천시,경기 포천시 영북면 운천로 23
42,강원철원군동송점,강원도,철원군,강원 철원군 동송읍 금학로 202
43,강원철원군와수리점,강원도,철원군,강원 철원군 서면 와수로 181번길7-16
44,강원강릉시홍제점,강원도,강릉시,강원 강릉시 홍제로 33
45,강원평창군봉평점,강원도,평창군,강원 평창군 봉평면 태기로 68
46,강원강릉시솔올점,강원도,강릉시,강원 강릉시 원대로 155
47,강원강릉시입암점,강원도,강릉시,강원 강릉시 강변로 410번길36
48,강원강릉시사천해변점,강원도,강릉시,강원 강릉시 사천면 진리해변길 99
49,강원춘천시효자점,강원도,춘천시,강원 춘천시 서부대성로 194
50,강원춘천시칠전송암점,강원도,춘천시,강원 춘천시 옛경춘로 492
51,강원인제군현리점,강원도,인제군,강원 인제군 기린면 내린천로 3905-1
52,강원양구군양구점,강원도,양구군,강원 양구군 양구읍 중앙길 12
53,강원철원군내대리점,강원도,철원군,강원 철원군 갈말읍 두루미로 414
54,강원원주시혁신도시점,강원도,원주시,강원 원주시 웅비2길 8
55,강원춘천시강북점,강원도,춘천시,강원 춘천시 충열로 78-3
56,강원원주시반곡봉산점,강원도,원주시,강원 원주시 반곡길 47
57,강원삼척시교동점,강원도,삼척시,강원 삼척시 정상로 10-6
58,강원강릉시주문진점,강원도,강릉시,강원 강릉시 주문진읍 주문로 11
59,강원횡성군횡성점,강원도,횡성군,강원 횡성군 횡성읍 읍하로 25번길14
60,강원화천군사내점,강원도,화천군,강원 화천군 사내면 사내로 31
61,강원철원군신철원점,강원도,철원군,강원 철원군 갈말읍 삼부연로 17번길3-14
62,서울도봉구신창점,서울특별시,도봉구,서울 도봉구 덕릉로 60길161
63,경기파주시선유점,경기도,파주시,경기 파주시 문산읍 독서울1길22
64,경기양주시광적점,경기도,양주시,경기 양주시 광적면 삼일로 23
65,경기연천군전곡점,경기도,연천군,경기도 연천군 전곡읍 은전로 78번길30
66,경기동두천시생연점,경기도,동두천시,경기 동두천시 삼육사로 980
67,경기포천시신읍리점,경기도,포천시,경기 포천시 왕방로 159
68,경기양주시신산점,경기도,양주시,경기 양주시 남면 개나리11길38-4
69,서울강북구미아점,서울특별시,강북구,서울 강북구 삼양로 54길119
70,경기의정부시의정부1점,경기도,의정부시,경기 의정부시 호국로 1298번길18
71,경기양주시덕계점,경기도,양주시,경기 양주시 평화로 1412
72,경기양주시장흥점,경기도,양주시,경기 양주시 장흥면 호국로 177
73,서울성동구행당1점,서울특별시,성동구,서울 성동구 왕십리로21길25
74,서울노원구상계1점,서울특별시,노원구,서울 노원구 동일로 237다길7
75,경기연천군대광리점,경기도,연천군,경기 연천군 신서면 연신로 1155-1
76,서울은평구불광점,서울특별시,은평구,서울 은평구 불광로 197
77,서울용산구원효점,서울특별시,용산구,서울 용산구 새창로14길22
78,경기고양시풍동점,경기도,고양시,경기 고양시 일산동구 숲속마을2로106-2
79,경기고양시주교점,경기도,고양시,경기 고양시 덕양구 원당로 69번길14
80,경기의정부시금오지구점,경기도,의정부시,경기 의정부시 청사로 5번길8-17
81,서울성북구정릉점,서울특별시,성북구,서울 성북구 보국문로 90
82,서울서대문구홍제1점,서울특별시,서대문구,서울 서대문구 통일로 39길22-4
